contig	source	pi	num_snps	contig_len	theta	snps_present
SUPERPANG_100_length=177249	1EM_S18.pan.rmd.sort	0.000296020461897239	462	177249	0.000889949922659114	TRUE
SUPERPANG_100_length=177249	1XE_S43.pan.rmd.sort	0.000332217775064258	114	177249	0.00022780779747647	TRUE
SUPERPANG_100_length=177249	2EE_S44.pan.rmd.sort	0.000782397559521459	455	177249	0.000907483492817094	TRUE
SUPERPANG_100_length=177249	2EM_S20.pan.rmd.sort	0.000545763655375264	466	177249	0.000897634858729723	TRUE
SUPERPANG_100_length=177249	2XE_S45.pan.rmd.sort	0.000260551127191412	112	177249	0.00022381369996297	TRUE
SUPERPANG_100_length=177249	2XM_S21.pan.rmd.sort	2.82797432199316e-05	27	177249	5.61878735197589e-05	TRUE
SUPERPANG_100_length=177249	3EE_S46.pan.rmd.sort	0.000345410151046417	467	177249	0.000931354063759204	TRUE
SUPERPANG_100_length=177249	3EM_S22.pan.rmd.sort	0.000514795674011219	466	177249	0.000897634858729723	TRUE
SUPERPANG_100_length=177249	3XE_S47.pan.rmd.sort	0.000332777448015301	117	177249	0.000225816483231558	TRUE
SUPERPANG_100_length=177249	4EE_S48.pan.rmd.sort	0.000554167003617758	465	177249	0.000927375859730664	TRUE
SUPERPANG_100_length=177249	4EM_S24.pan.rmd.sort	0.000685604806756743	454	177249	0.000905494132662685	TRUE
SUPERPANG_100_length=177249	4XE_S49.pan.rmd.sort	0.000338656878779428	130	177249	0.00025088876579444	TRUE
SUPERPANG_100_length=177249	5EE_S50.pan.rmd.sort	0.000559688261546002	265	177249	0.0005110371227276	TRUE
SUPERPANG_100_length=177249	5EM_S26.pan.rmd.sort	0.000565582706283786	463	177249	0.000891871189195777	TRUE
SUPERPANG_100_length=177249	5XE_S51.pan.rmd.sort	8.11557279172564e-05	111	177249	0.000221816617336695	TRUE
SUPERPANG_100_length=177249	5XM_S27.pan.rmd.sort	2.93974650339767e-05	108	177249	0.00021582523397518	TRUE
SUPERPANG_100_length=177249	6EE_S52.pan.rmd.sort	0.000767649865391681	444	177249	0.000885599296341779	TRUE
SUPERPANG_100_length=177249	6EM_S28.pan.rmd.sort	0.000471950401892322	218	177249	0.00042051198427159	TRUE
SUPERPANG_101_length=51684	1EE_S42.pan.rmd.sort	0	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	1EM_S18.pan.rmd.sort	3.87026859664061e-05	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	1XE_S43.pan.rmd.sort	0.00010194666511811	10	51684	6.6087987485222e-05	TRUE
SUPERPANG_101_length=51684	2EE_S44.pan.rmd.sort	0.000136319460570564	25	51684	0.000171010605686883	TRUE
SUPERPANG_101_length=51684	2EM_S20.pan.rmd.sort	9.67567149160152e-05	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	2XE_S45.pan.rmd.sort	0.000105805768995039	16	51684	0.000119434046839794	TRUE
SUPERPANG_101_length=51684	3EE_S46.pan.rmd.sort	6.57945661428903e-05	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	3EM_S22.pan.rmd.sort	9.67567149160152e-05	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	3XE_S47.pan.rmd.sort	0.000106248212169507	10	51684	6.6087987485222e-05	TRUE
SUPERPANG_101_length=51684	4EE_S48.pan.rmd.sort	9.67567149160152e-05	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	4EM_S24.pan.rmd.sort	0.000117828177275503	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	4XE_S49.pan.rmd.sort	9.03324880793377e-05	10	51684	6.6087987485222e-05	TRUE
SUPERPANG_101_length=51684	5EE_S50.pan.rmd.sort	0.000110106816515162	16	51684	0.000105728500481129	TRUE
SUPERPANG_101_length=51684	5EM_S26.pan.rmd.sort	9.67567149160152e-05	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	5XE_S51.pan.rmd.sort	2.3228354077544e-05	10	51684	6.6087987485222e-05	TRUE
SUPERPANG_101_length=51684	5XM_S27.pan.rmd.sort	1.93569617312867e-05	10	51684	6.6087987485222e-05	TRUE
SUPERPANG_101_length=51684	6EE_S52.pan.rmd.sort	0.000172011937628471	25	51684	0.000165172010288821	TRUE
SUPERPANG_101_length=51684	6EM_S28.pan.rmd.sort	0.000103227138414689	15	51684	9.91223876865072e-05	TRUE
SUPERPANG_101_length=51684	6XE_S53.pan.rmd.sort	0.00010580986483435	14	51684	0.000104508836462067	TRUE
SUPERPANG_10_length=47083	1EE_S42.pan.rmd.sort	0	11	47083	7.98144402945862e-05	TRUE
SUPERPANG_10_length=47083	1EM_S18.pan.rmd.sort	4.25034534055892e-06	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	1XE_S43.pan.rmd.sort	0.000126093578436581	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	2EE_S44.pan.rmd.sort	5.10041440867071e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	2EM_S20.pan.rmd.sort	5.10041440867071e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	2XE_S45.pan.rmd.sort	0.000110272848557834	12	47083	9.01461937848939e-05	TRUE
SUPERPANG_10_length=47083	3EE_S46.pan.rmd.sort	8.50069068111784e-06	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	3EM_S22.pan.rmd.sort	2.12517267027946e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	3XE_S47.pan.rmd.sort	0.000139316875051654	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	4EE_S48.pan.rmd.sort	5.10041440867071e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	4EM_S24.pan.rmd.sort	5.10041440867071e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	4XE_S49.pan.rmd.sort	0.000111925760634718	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	5EE_S50.pan.rmd.sort	9.06740339319236e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	5EM_S26.pan.rmd.sort	3.82531080650303e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	5XE_S51.pan.rmd.sort	9.34519890406304e-05	40	47083	0.00029005556327966	TRUE
SUPERPANG_10_length=47083	5XM_S27.pan.rmd.sort	9.34519890406304e-05	40	47083	0.00029005556327966	TRUE
SUPERPANG_10_length=47083	6EE_S52.pan.rmd.sort	5.10041440867071e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_10_length=47083	6EM_S28.pan.rmd.sort	8.73682097781556e-05	12	47083	8.70684481089973e-05	TRUE
SUPERPANG_11_length=42957	1EE_S42.pan.rmd.sort	0	9	42957	7.16059463396404e-05	TRUE
SUPERPANG_11_length=42957	1EM_S18.pan.rmd.sort	1.8640631917422e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	1XE_S43.pan.rmd.sort	0.000162069938615364	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	2EE_S44.pan.rmd.sort	7.61159136628065e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	2EM_S20.pan.rmd.sort	5.12617377729105e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	2XE_S45.pan.rmd.sort	0.000162125416686546	14	42957	0.000115310964729739	TRUE
SUPERPANG_11_length=42957	3EE_S46.pan.rmd.sort	4.6603751602004e-06	12	42957	9.54679209080477e-05	TRUE
SUPERPANG_11_length=42957	3EM_S22.pan.rmd.sort	3.26211058554885e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	3XE_S47.pan.rmd.sort	0.00017656820788447	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	4EE_S48.pan.rmd.sort	6.5242211710977e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	4EM_S24.pan.rmd.sort	7.249134634553e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	4XE_S49.pan.rmd.sort	0.000132555604746112	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	5EE_S50.pan.rmd.sort	0.000112879382166611	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	5EM_S26.pan.rmd.sort	6.4206621048898e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	5XE_S51.pan.rmd.sort	0.000160891889445026	52	42957	0.000413309088852639	TRUE
SUPERPANG_11_length=42957	5XM_S27.pan.rmd.sort	0.000110710174730661	52	42957	0.000427918976689764	TRUE
SUPERPANG_11_length=42957	6EE_S52.pan.rmd.sort	7.61159136628065e-05	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	6EM_S28.pan.rmd.sort	0.000103041270876861	14	42957	0.000111374050610799	TRUE
SUPERPANG_11_length=42957	6XE_S53.pan.rmd.sort	0.000395180352327867	35	42957	0.000288136421893557	TRUE
SUPERPANG_12_length=76102	1EE_S42.pan.rmd.sort	3.97284443977051e-05	29	76102	0.00013015429346244	TRUE
SUPERPANG_12_length=76102	1EM_S18.pan.rmd.sort	7.21510205571987e-05	32	76102	0.00014361286715369	TRUE
SUPERPANG_12_length=76102	1XE_S43.pan.rmd.sort	0.00015015804572517	25	76102	0.000112207877210984	TRUE
SUPERPANG_12_length=76102	2EE_S44.pan.rmd.sort	0.000113918171700974	35	76102	0.000157070379415326	TRUE
SUPERPANG_12_length=76102	2EM_S20.pan.rmd.sort	0.000107202738781686	33	76102	0.000148098822504658	TRUE
SUPERPANG_12_length=76102	2XE_S45.pan.rmd.sort	0.000138390946494329	24	76102	0.000111528761448412	TRUE
SUPERPANG_12_length=76102	2XM_S21.pan.rmd.sort	1.43190070206968e-05	2	76102	8.97934518107451e-06	TRUE
SUPERPANG_12_length=76102	3EE_S46.pan.rmd.sort	7.01071763458387e-05	31	76102	0.000139126793866098	TRUE
SUPERPANG_12_length=76102	3EM_S22.pan.rmd.sort	0.00010194751893624	31	76102	0.000139126793866098	TRUE
SUPERPANG_12_length=76102	3XE_S47.pan.rmd.sort	0.000183947876983605	31	76102	0.000144044727945809	TRUE
SUPERPANG_12_length=76102	4EE_S48.pan.rmd.sort	9.55185165711482e-05	33	76102	0.000148098822504658	TRUE
SUPERPANG_12_length=76102	4EM_S24.pan.rmd.sort	0.000111873486567879	35	76102	0.000157070379415326	TRUE
SUPERPANG_12_length=76102	4XE_S49.pan.rmd.sort	0.000137302244599567	26	76102	0.000116694658215995	TRUE
SUPERPANG_12_length=76102	5EE_S50.pan.rmd.sort	0.000128528133786103	32	76102	0.00014361286715369	TRUE
SUPERPANG_12_length=76102	5EM_S26.pan.rmd.sort	9.58131410059796e-05	31	76102	0.000139126793866098	TRUE
SUPERPANG_12_length=76102	5XE_S51.pan.rmd.sort	0.000106020380446688	43	76102	0.000199772465135474	TRUE
SUPERPANG_12_length=76102	6EE_S52.pan.rmd.sort	0.000127057565839916	38	76102	0.000170526830372911	TRUE
SUPERPANG_12_length=76102	6EM_S28.pan.rmd.sort	0.000123273405515462	30	76102	0.000134640602637232	TRUE
SUPERPANG_13_length=38273	1EE_S42.pan.rmd.sort	0	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	1EM_S18.pan.rmd.sort	0	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	1XE_S43.pan.rmd.sort	1.39367966272952e-05	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	2EE_S44.pan.rmd.sort	9.29119775153015e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	2EM_S20.pan.rmd.sort	5.22629873523571e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	2XE_S45.pan.rmd.sort	1.21946970488833e-05	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	3EE_S46.pan.rmd.sort	5.22629873523571e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	3EM_S22.pan.rmd.sort	5.22629873523571e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	3XE_S47.pan.rmd.sort	1.45174964867659e-05	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	4EE_S48.pan.rmd.sort	5.22629873523571e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	4EM_S24.pan.rmd.sort	9.29119775153015e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	4XE_S49.pan.rmd.sort	1.21946970488833e-05	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	5EE_S50.pan.rmd.sort	9.29119775153015e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	5EM_S26.pan.rmd.sort	5.22629873523571e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	5XE_S51.pan.rmd.sort	1.04517781087508e-05	4	38273	3.56841631676628e-05	TRUE
SUPERPANG_13_length=38273	5XM_S27.pan.rmd.sort	1.04517781087508e-05	4	38273	3.56841631676628e-05	TRUE
SUPERPANG_13_length=38273	6EE_S52.pan.rmd.sort	5.22629873523571e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	6EM_S28.pan.rmd.sort	9.29119775153015e-06	1	38273	8.92174015227881e-06	TRUE
SUPERPANG_13_length=38273	6XE_S53.pan.rmd.sort	6.21267676371797e-05	6	38273	5.54154253461733e-05	TRUE
SUPERPANG_14_length=36636	1EE_S42.pan.rmd.sort	2.73037542662116e-05	5	36636	4.66098501225127e-05	TRUE
SUPERPANG_14_length=36636	1XE_S43.pan.rmd.sort	2.97982043927104e-05	2	36636	2.00937646823524e-05	TRUE
SUPERPANG_14_length=36636	2EE_S44.pan.rmd.sort	5.39992840544361e-05	6	36636	5.5930293040038e-05	TRUE
SUPERPANG_14_length=36636	2EM_S20.pan.rmd.sort	1.09223963737644e-05	2	36636	1.8645467322779e-05	TRUE
SUPERPANG_14_length=36636	3EM_S22.pan.rmd.sort	2.73037542662116e-05	5	36636	4.66098501225127e-05	TRUE
SUPERPANG_14_length=36636	3XE_S47.pan.rmd.sort	0.000148893482226816	10	36636	0.000105289361487709	TRUE
SUPERPANG_14_length=36636	4EE_S48.pan.rmd.sort	3.15510049298445e-05	5	36636	4.66098501225127e-05	TRUE
SUPERPANG_14_length=36636	4EM_S24.pan.rmd.sort	4.55050146526147e-05	6	36636	5.5930293040038e-05	TRUE
SUPERPANG_14_length=36636	4XE_S49.pan.rmd.sort	7.64463374013706e-05	7	36636	7.37085897809358e-05	TRUE
SUPERPANG_14_length=36636	5EE_S50.pan.rmd.sort	5.88531522840484e-05	6	36636	5.5930293040038e-05	TRUE
SUPERPANG_14_length=36636	5XE_S51.pan.rmd.sort	5.37737843918233e-05	12	36636	0.000143466762736262	TRUE
SUPERPANG_14_length=36636	5XM_S27.pan.rmd.sort	5.46134731438246e-06	1	36636	9.3229882348217e-06	TRUE
SUPERPANG_14_length=36636	6EE_S52.pan.rmd.sort	2.18435998252512e-05	4	36636	3.72888982249242e-05	TRUE
SUPERPANG_14_length=36636	6EM_S28.pan.rmd.sort	7.5230849501899e-05	8	36636	7.45696521016502e-05	TRUE
SUPERPANG_15_length=34456	1EE_S42.pan.rmd.sort	1.16167629889931e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	1EM_S18.pan.rmd.sort	1.74251444834897e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	1XE_S43.pan.rmd.sort	5.03393062856368e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	2EE_S44.pan.rmd.sort	1.74251444834897e-05	4	34456	4.10636032154056e-05	TRUE
SUPERPANG_15_length=34456	2EM_S20.pan.rmd.sort	1.74251444834897e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	2XE_S45.pan.rmd.sort	5.70696530967202e-05	4	34456	4.10636032154056e-05	TRUE
SUPERPANG_15_length=34456	3EE_S46.pan.rmd.sort	1.16167629889931e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	3EM_S22.pan.rmd.sort	1.16167629889931e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	3XE_S47.pan.rmd.sort	6.195606927463e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	4EE_S48.pan.rmd.sort	1.74251444834897e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	4EM_S24.pan.rmd.sort	2.77511560292613e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	4XE_S49.pan.rmd.sort	4.00132947398652e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	5EE_S50.pan.rmd.sort	3.22687860805364e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	5EM_S26.pan.rmd.sort	2.19427745347648e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	5XE_S51.pan.rmd.sort	0.000186389082372365	27	34456	0.000276994299519196	TRUE
SUPERPANG_15_length=34456	5XM_S27.pan.rmd.sort	1.16090085906664e-05	27	34456	0.000302217992236356	TRUE
SUPERPANG_15_length=34456	6EE_S52.pan.rmd.sort	2.77511560292613e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_15_length=34456	6EM_S28.pan.rmd.sort	2.77511560292613e-05	4	34456	3.96616213687341e-05	TRUE
SUPERPANG_16_length=33730	1EE_S42.pan.rmd.sort	0	14	33730	0.000141936100785832	TRUE
SUPERPANG_16_length=33730	1EM_S18.pan.rmd.sort	0	14	33730	0.000141936100785832	TRUE
SUPERPANG_16_length=33730	1XE_S43.pan.rmd.sort	0.000224346919518842	16	33730	0.000162203053457999	TRUE
SUPERPANG_16_length=33730	2EE_S44.pan.rmd.sort	0.000104255333188168	16	33730	0.000162203053457999	TRUE
SUPERPANG_16_length=33730	2EM_S20.pan.rmd.sort	8.9078923926599e-05	16	33730	0.000162203053457999	TRUE
SUPERPANG_16_length=33730	2XE_S45.pan.rmd.sort	0.000282473894492183	20	33730	0.000218476886822965	TRUE
SUPERPANG_16_length=33730	3EE_S46.pan.rmd.sort	3.5633685710892e-05	14	33730	0.000141936100785832	TRUE
SUPERPANG_16_length=33730	3EM_S22.pan.rmd.sort	8.31452666587481e-05	14	33730	0.000141936100785832	TRUE
SUPERPANG_16_length=33730	3XE_S47.pan.rmd.sort	0.000275806552715012	17	33730	0.000172335627141717	TRUE
SUPERPANG_16_length=33730	4EE_S48.pan.rmd.sort	8.31452666587481e-05	14	33730	0.000141936100785832	TRUE
SUPERPANG_16_length=33730	4EM_S24.pan.rmd.sort	9.23836296208312e-05	14	33730	0.000141936100785832	TRUE
SUPERPANG_16_length=33730	4XE_S49.pan.rmd.sort	0.00021906816847134	16	33730	0.000162203053457999	TRUE
SUPERPANG_16_length=33730	5EE_S50.pan.rmd.sort	0.00015968221918694	16	33730	0.000162203053457999	TRUE
SUPERPANG_16_length=33730	5EM_S26.pan.rmd.sort	8.90815690233691e-05	15	33730	0.000152069878023906	TRUE
SUPERPANG_16_length=33730	5XE_S51.pan.rmd.sort	0.00029056838734545	65	33730	0.000681251654598274	TRUE
SUPERPANG_16_length=33730	5XM_S27.pan.rmd.sort	0.000178573781942303	62	33730	0.000649867075895473	TRUE
SUPERPANG_16_length=33730	6EE_S52.pan.rmd.sort	9.96364260216033e-05	16	33730	0.000162203053457999	TRUE
SUPERPANG_16_length=33730	6EM_S28.pan.rmd.sort	0.000153748189499593	15	33730	0.000152069878023906	TRUE
SUPERPANG_16_length=33730	6XE_S53.pan.rmd.sort	0.000374750747286962	26	33730	0.000272816131021563	TRUE
SUPERPANG_17_length=82429	1EE_S42.pan.rmd.sort	0	47	82429	0.000195392464547069	TRUE
SUPERPANG_17_length=82429	1EM_S18.pan.rmd.sort	7.30495763124574e-06	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	1XE_S43.pan.rmd.sort	0.00031005486834843	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	2EE_S44.pan.rmd.sort	0.00013338311526682	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	2EM_S20.pan.rmd.sort	7.54845621895393e-05	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	2XE_S45.pan.rmd.sort	0.000395501775970697	68	82429	0.000282623211672188	TRUE
SUPERPANG_17_length=82429	2XM_S21.pan.rmd.sort	9.74635120976584e-06	4	82429	1.66378573693334e-05	TRUE
SUPERPANG_17_length=82429	3EE_S46.pan.rmd.sort	4.86997175416383e-05	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	3EM_S22.pan.rmd.sort	6.33096328041297e-05	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	3XE_S47.pan.rmd.sort	0.000362537927825192	59	82429	0.000245244067554171	TRUE
SUPERPANG_17_length=82429	4EE_S48.pan.rmd.sort	9.49644492061946e-05	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	4EM_S24.pan.rmd.sort	0.000123643171758493	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	4XE_S49.pan.rmd.sort	0.000249450775407725	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	5EE_S50.pan.rmd.sort	0.000209408785429045	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	5EM_S26.pan.rmd.sort	0.000109574364468686	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	5XE_S51.pan.rmd.sort	0.000754419881309639	340	82429	0.0014582392099889	TRUE
SUPERPANG_17_length=82429	5XM_S27.pan.rmd.sort	0.000319505615614523	341	82429	0.00146251040380548	TRUE
SUPERPANG_17_length=82429	6EE_S52.pan.rmd.sort	0.000130677575403396	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	6EM_S28.pan.rmd.sort	0.000205079921647566	58	82429	0.000241090323665013	TRUE
SUPERPANG_17_length=82429	6XE_S53.pan.rmd.sort	0.00108511642171566	186	82429	0.000799236018215706	TRUE
SUPERPANG_18_length=31676	6XE_S53.pan.rmd.sort	0.000130487856210801	8	31676	8.62273398528616e-05	TRUE
SUPERPANG_1_length=135913	1EE_S42.pan.rmd.sort	0	3	135913	7.53774538715083e-06	TRUE
SUPERPANG_1_length=135913	1EM_S18.pan.rmd.sort	1.47184363133261e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	1XE_S43.pan.rmd.sort	1.39007454070302e-05	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	2EE_S44.pan.rmd.sort	4.41553089399782e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	2EM_S20.pan.rmd.sort	4.41553089399782e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	2XE_S45.pan.rmd.sort	1.97878286864643e-05	6	135913	1.50751579477241e-05	TRUE
SUPERPANG_1_length=135913	3EE_S46.pan.rmd.sort	0	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	3EM_S22.pan.rmd.sort	2.94370892606139e-06	3	135913	7.53774538715083e-06	TRUE
SUPERPANG_1_length=135913	3XE_S47.pan.rmd.sort	1.3737207225771e-05	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	4EE_S48.pan.rmd.sort	4.41553089399782e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	4EM_S24.pan.rmd.sort	4.41553089399782e-06	4	135913	1.04055153624861e-05	TRUE
SUPERPANG_1_length=135913	4XE_S49.pan.rmd.sort	9.48521451303236e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	5EE_S50.pan.rmd.sort	1.32464951981455e-05	5	135913	1.25627240735698e-05	TRUE
SUPERPANG_1_length=135913	5EM_S26.pan.rmd.sort	4.41553089399782e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	5XE_S51.pan.rmd.sort	4.23473512876293e-05	33	135913	8.28968974333904e-05	TRUE
SUPERPANG_1_length=135913	5XM_S27.pan.rmd.sort	1.43883951053296e-05	32	135913	8.32269733072024e-05	TRUE
SUPERPANG_1_length=135913	6EE_S52.pan.rmd.sort	6.70506543162632e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_1_length=135913	6EM_S28.pan.rmd.sort	9.32167633177318e-06	4	135913	1.00502532203175e-05	TRUE
SUPERPANG_20_length=25241	1EE_S42.pan.rmd.sort	0	22	25241	0.000298334882918653	TRUE
SUPERPANG_20_length=25241	1EM_S18.pan.rmd.sort	4.7651193265298e-05	28	25241	0.000379608476358153	TRUE
SUPERPANG_20_length=25241	1XE_S43.pan.rmd.sort	0.000535634709482146	28	25241	0.000379608476358153	TRUE
SUPERPANG_20_length=25241	2EE_S44.pan.rmd.sort	0.000360856350057128	32	25241	0.000433769359936355	TRUE
SUPERPANG_20_length=25241	2EM_S20.pan.rmd.sort	0.00020470738755432	30	25241	0.000406691068668738	TRUE
