query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
SUPERPANG_0_length=171158_14_1,316273.XCV3182,1.13E-85,253,"COG2905@1|root,COG2905@2|Bacteria,1QTTR@1224|Proteobacteria,1T1K1@1236|Gammaproteobacteria,1X6ZX@135614|Xanthomonadales",135614|Xanthomonadales,T,CBS domain,-,-,-,-,-,-,-,-,-,-,-,-,CBS
SUPERPANG_0_length=171158_15_1,316273.XCV3183,1.89E-252,692,"COG0463@1|root,COG0463@2|Bacteria,1MWE5@1224|Proteobacteria,1RPCE@1236|Gammaproteobacteria,1X43P@135614|Xanthomonadales",135614|Xanthomonadales,M,glycosyl transferase family 2,gtrB,-,-,ko:K20534,-,-,-,-,"ko00000,ko01000,ko01005,ko02000",4.D.2.1.9,GT2,-,Glycos_transf_2
SUPERPANG_0_length=171158_16_1,316273.XCV3184,4.68E-180,501,"COG0744@1|root,COG0744@2|Bacteria,1RDAQ@1224|Proteobacteria,1RMGB@1236|Gammaproteobacteria,1X4AQ@135614|Xanthomonadales",135614|Xanthomonadales,M,Peptidoglycan polymerase that catalyzes glycan chain elongation from lipid-linked precursors,mtgA,-,2.4.1.129,ko:K03814,"ko00550,map00550",-,-,-,"ko00000,ko00001,ko01000,ko01003,ko01011",-,GT51,-,Transgly
SUPERPANG_0_length=171158_17_1,316273.XCV3185,9.21E-211,582,"COG1281@1|root,COG1281@2|Bacteria,1MUMU@1224|Proteobacteria,1RMP3@1236|Gammaproteobacteria,1X4JV@135614|Xanthomonadales",135614|Xanthomonadales,O,Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress,hslO,-,-,ko:K04083,-,-,-,-,"ko00000,ko03110",-,-,-,HSP33
SUPERPANG_0_length=171158_18_1,366649.XFF4834R_chr15910,2.76E-196,545,"29NIW@1|root,309GT@2|Bacteria,1QSW3@1224|Proteobacteria,1RWGT@1236|Gammaproteobacteria,1X3TI@135614|Xanthomonadales",135614|Xanthomonadales,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_0_length=171158_19_1,1219375.CM002139_gene800,0,1806,"COG1629@1|root,COG4771@2|Bacteria,1MU9K@1224|Proteobacteria,1RMTG@1236|Gammaproteobacteria,1X3YY@135614|Xanthomonadales",135614|Xanthomonadales,P,receptor,-,-,-,ko:K02014,-,-,-,-,"ko00000,ko02000",1.B.14,-,-,"Plug,TonB_dep_Rec"
SUPERPANG_0_length=171158_20_1,190486.XAC3052,1.21E-141,400,"COG1309@1|root,COG1309@2|Bacteria,1RCPQ@1224|Proteobacteria,1S1YN@1236|Gammaproteobacteria,1X3K6@135614|Xanthomonadales",135614|Xanthomonadales,K,transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,-,TetR_N
SUPERPANG_0_length=171158_21_1,316273.XCV3189,1.68E-223,615,"COG2267@1|root,COG2267@2|Bacteria,1MUFB@1224|Proteobacteria,1S22A@1236|Gammaproteobacteria,1XC3S@135614|Xanthomonadales",135614|Xanthomonadales,I,"Serine aminopeptidase, S33",-,-,-,-,-,-,-,-,-,-,-,-,Hydrolase_4
SUPERPANG_0_length=171158_22_1,316273.XCV3190,0,1630,"COG1960@1|root,COG1960@2|Bacteria,1MUDR@1224|Proteobacteria,1RPM5@1236|Gammaproteobacteria,1X333@135614|Xanthomonadales",135614|Xanthomonadales,I,converts acyl-CoA and FAD to FADH2 and delta2-enoyl-CoA,fadE,-,-,ko:K06445,"ko00071,ko01100,ko01212,map00071,map01100,map01212",M00087,"R01175,R01279,R03777,R03857,R03990,R04751,R04754","RC00052,RC00076","ko00000,ko00001,ko00002,ko01000",-,-,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_N,DUF1974"
SUPERPANG_0_length=171158_23_1,316273.XCV3191,5.47E-72,217,"COG3759@1|root,COG3759@2|Bacteria,1MZ4F@1224|Proteobacteria,1S90R@1236|Gammaproteobacteria,1X7IR@135614|Xanthomonadales",135614|Xanthomonadales,S,membrane,-,-,-,ko:K08987,-,-,-,-,ko00000,-,-,-,DUF1304
SUPERPANG_0_length=171158_24_1,316273.XCV3192,6.64e-313,854,"COG3202@1|root,COG3202@2|Bacteria,1MVP5@1224|Proteobacteria,1RNY6@1236|Gammaproteobacteria,1X4WT@135614|Xanthomonadales",135614|Xanthomonadales,C,Major Facilitator Superfamily,-,-,-,ko:K03301,-,-,-,-,ko00000,2.A.12,-,-,"MFS_1,TLC"
SUPERPANG_0_length=171158_25_1,316273.XCV3193,0,910,"COG1680@1|root,COG1680@2|Bacteria,1MY01@1224|Proteobacteria,1RNUI@1236|Gammaproteobacteria,1X480@135614|Xanthomonadales",135614|Xanthomonadales,V,beta-lactamase,ampC3,-,3.5.2.6,ko:K01467,"ko01501,ko02020,map01501,map02020",M00628,R06363,RC01499,"ko00000,ko00001,ko00002,ko01000",-,-,-,Beta-lactamase
SUPERPANG_0_length=171158_27_1,190486.XAC3060,2.12E-87,257,"COG0509@1|root,COG0509@2|Bacteria,1RGV7@1224|Proteobacteria,1S656@1236|Gammaproteobacteria,1X6DR@135614|Xanthomonadales",135614|Xanthomonadales,E,The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein,gcvH,-,-,ko:K02437,"ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200",M00532,R01221,"RC00022,RC02834","ko00000,ko00001,ko00002",-,-,-,GCV_H
SUPERPANG_0_length=171158_28_1,316273.XCV3196,1.17E-268,735,"COG0404@1|root,COG0404@2|Bacteria,1MV96@1224|Proteobacteria,1RN2A@1236|Gammaproteobacteria,1X4E4@135614|Xanthomonadales",135614|Xanthomonadales,E,The glycine cleavage system catalyzes the degradation of glycine,gcvT,-,2.1.2.10,ko:K00605,"ko00260,ko00630,ko00670,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map00670,map01100,map01110,map01130,map01200",M00532,"R01221,R02300,R04125","RC00022,RC00069,RC00183,RC02834","ko00000,ko00001,ko00002,ko01000",-,-,-,"GCV_T,GCV_T_C"
SUPERPANG_0_length=171158_29_1,316273.XCV3197,1.58E-28,107,"COG0330@1|root,COG1585@1|root,COG0330@2|Bacteria,COG1585@2|Bacteria,1N241@1224|Proteobacteria,1S5W4@1236|Gammaproteobacteria,1X6VZ@135614|Xanthomonadales",135614|Xanthomonadales,OU,Membrane protein implicated in regulation of membrane protease activity,-,-,-,ko:K07340,-,-,-,-,ko00000,-,-,-,NfeD
SUPERPANG_0_length=171158_30_1,316273.XCV3197,1.12E-95,283,"COG0330@1|root,COG1585@1|root,COG0330@2|Bacteria,COG1585@2|Bacteria,1N241@1224|Proteobacteria,1S5W4@1236|Gammaproteobacteria,1X6VZ@135614|Xanthomonadales",135614|Xanthomonadales,OU,Membrane protein implicated in regulation of membrane protease activity,-,-,-,ko:K07340,-,-,-,-,ko00000,-,-,-,NfeD
SUPERPANG_0_length=171158_31_1,190486.XAC3064,1.88E-76,228,"COG1742@1|root,COG1742@2|Bacteria,1MZI8@1224|Proteobacteria,1SA4U@1236|Gammaproteobacteria,1X7SH@135614|Xanthomonadales",135614|Xanthomonadales,S,UPF0060 membrane protein,-,-,-,ko:K09771,-,-,-,-,"ko00000,ko02000",2.A.7.26,-,-,UPF0060
SUPERPANG_0_length=171158_32_1,316273.XCV3199,2.51E-234,645,"COG1694@1|root,COG3956@2|Bacteria,1MVKM@1224|Proteobacteria,1RNVU@1236|Gammaproteobacteria,1X2Z9@135614|Xanthomonadales",135614|Xanthomonadales,S,Nucleoside triphosphate,mazG,-,3.6.1.9,ko:K04765,"ko00230,ko00240,ko00760,ko00770,ko01100,map00230,map00240,map00760,map00770,map01100",-,"R00086,R00087,R00103,R00287,R00426,R00515,R00662,R00720,R03004,R03036,R11323",RC00002,"ko00000,ko00001,ko01000",-,-,-,MazG
SUPERPANG_0_length=171158_33_1,366649.XFF4834R_chr15680,5.08E-193,535,"COG1218@1|root,COG1218@2|Bacteria,1N0GY@1224|Proteobacteria,1RP5A@1236|Gammaproteobacteria,1X3YK@135614|Xanthomonadales",135614|Xanthomonadales,P,nucleotidase,cysQ,-,3.1.3.7,ko:K01082,"ko00920,ko01100,ko01120,ko01130,map00920,map01100,map01120,map01130",-,"R00188,R00508",RC00078,"ko00000,ko00001,ko01000,ko03016",-,-,-,Inositol_P
SUPERPANG_0_length=171158_34_1,190486.XAC3067,7.64E-129,366,"COG0494@1|root,COG0494@2|Bacteria,1RCX7@1224|Proteobacteria,1S3ZE@1236|Gammaproteobacteria,1X3RK@135614|Xanthomonadales",135614|Xanthomonadales,L,ADP-ribose diphosphatase,nudE,-,-,ko:K08312,"ko00230,map00230",-,R01054,RC00002,"ko00000,ko00001,ko01000",-,-,-,NUDIX
SUPERPANG_0_length=171158_35_1,316273.XCV3202,0,872,"COG0161@1|root,COG0161@2|Bacteria,1MU2N@1224|Proteobacteria,1RP0W@1236|Gammaproteobacteria,1X3CW@135614|Xanthomonadales",135614|Xanthomonadales,E,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,bioA,-,2.6.1.62,ko:K00833,"ko00780,ko01100,map00780,map01100","M00123,M00573,M00577",R03231,"RC00006,RC00887","ko00000,ko00001,ko00002,ko01000,ko01007",-,-,-,Aminotran_3
SUPERPANG_0_length=171158_36_1,316273.XCV3203,1.89E-168,471,"COG1385@1|root,COG1385@2|Bacteria,1MXCU@1224|Proteobacteria,1RPBN@1236|Gammaproteobacteria,1X36H@135614|Xanthomonadales",135614|Xanthomonadales,J,Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit,-,-,2.1.1.193,ko:K09761,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,Methyltrans_RNA
SUPERPANG_0_length=171158_37_1,316273.XCV3204,7.52E-238,654,"COG0837@1|root,COG0837@2|Bacteria,1MVFI@1224|Proteobacteria,1RNUY@1236|Gammaproteobacteria,1X2YT@135614|Xanthomonadales",135614|Xanthomonadales,G,Belongs to the bacterial glucokinase family,glk2,-,2.7.1.2,ko:K00845,"ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200","M00001,M00549","R00299,R01600,R01786","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Glucokinase
SUPERPANG_0_length=171158_38_1,366649.XFF4834R_chr15620,0,1722,"COG1629@1|root,COG1629@2|Bacteria,COG4771@2|Bacteria,1MV8W@1224|Proteobacteria,1RMQA@1236|Gammaproteobacteria,1X3B5@135614|Xanthomonadales",135614|Xanthomonadales,P,receptor,-,-,-,ko:K02014,-,-,-,-,"ko00000,ko02000",1.B.14,-,-,"Plug,TonB_dep_Rec"
SUPERPANG_0_length=171158_39_1,317013.NY99_05660,0,1142,"COG3669@1|root,COG3669@2|Bacteria,1N8B5@1224|Proteobacteria,1RWUY@1236|Gammaproteobacteria,1X79B@135614|Xanthomonadales",135614|Xanthomonadales,G,alpha-l-fucosidase,fucA1,-,3.2.1.51,ko:K01206,"ko00511,map00511",-,-,-,"ko00000,ko00001,ko01000,ko04147",-,GH29,-,"Alpha_L_fucos,Fucosidase_C"
SUPERPANG_0_length=171158_40_1,325777.GW15_0213530,9.51E-269,734,"COG3858@1|root,COG3858@2|Bacteria,1N1AG@1224|Proteobacteria,1SRDK@1236|Gammaproteobacteria,1X54K@135614|Xanthomonadales",135614|Xanthomonadales,S,glycosyl hydrolase,-,-,-,-,-,-,-,-,-,-,-,-,Glyco_hydro_18
SUPERPANG_0_length=171158_41_1,316273.XCV3209,0,1607,"COG3525@1|root,COG3525@2|Bacteria,1MVDE@1224|Proteobacteria,1RMNI@1236|Gammaproteobacteria,1X467@135614|Xanthomonadales",135614|Xanthomonadales,G,"Glycosyl hydrolase family 20, catalytic domain",nahA,-,3.2.1.52,ko:K12373,"ko00511,ko00513,ko00520,ko00531,ko00603,ko00604,ko01100,ko04142,map00511,map00513,map00520,map00531,map00603,map00604,map01100,map04142",M00079,"R00022,R06004,R11316",RC00049,"ko00000,ko00001,ko00002,ko01000,ko03110",-,GH20,-,"CHB_HEX_C_1,Fn3_assoc,Glyco_hydro_20,Glyco_hydro_20b"
SUPERPANG_0_length=171158_42_1,316273.XCV3210,0,1796,"COG3250@1|root,COG3250@2|Bacteria,1NYBH@1224|Proteobacteria,1RZPC@1236|Gammaproteobacteria,1XCMD@135614|Xanthomonadales",135614|Xanthomonadales,G,Glycosyl hydrolases family 2,-,-,3.2.1.25,ko:K01192,"ko00511,ko04142,map00511,map04142",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"Glyco_hydro_2,Glyco_hydro_2_C"
SUPERPANG_0_length=171158_43_1,316273.XCV3211,0,1759,"COG1472@1|root,COG1472@2|Bacteria,1MVIV@1224|Proteobacteria,1RMA0@1236|Gammaproteobacteria,1X4AX@135614|Xanthomonadales",135614|Xanthomonadales,G,Belongs to the glycosyl hydrolase 3 family,-,-,3.2.1.21,ko:K05349,"ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110",-,"R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040","RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248","ko00000,ko00001,ko01000",-,GH3,-,"Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C,PA14"
SUPERPANG_0_length=171158_44_1,316273.XCV3212,0,1001,"COG3538@1|root,COG3538@2|Bacteria,1MXZA@1224|Proteobacteria,1RXFA@1236|Gammaproteobacteria,1X583@135614|Xanthomonadales",135614|Xanthomonadales,S,DUF1237,-,-,-,ko:K09704,-,-,-,-,ko00000,-,-,-,Glyco_hydro_125
SUPERPANG_0_length=171158_45_1,316273.XCV3213,0,1577,"COG3537@1|root,COG3537@2|Bacteria,1MXCY@1224|Proteobacteria,1RQDD@1236|Gammaproteobacteria,1X3M0@135614|Xanthomonadales",135614|Xanthomonadales,G,"Alpha-1,2-mannosidase",-,-,-,-,-,-,-,-,-,-,-,-,Glyco_hydro_92
SUPERPANG_0_length=171158_46_1,316273.XCV3214,0,1249,"COG1874@1|root,COG1874@2|Bacteria,1NDQP@1224|Proteobacteria,1SDV3@1236|Gammaproteobacteria,1X5CP@135614|Xanthomonadales",135614|Xanthomonadales,G,beta-galactosidase,bga2,-,3.2.1.23,ko:K12308,"ko00052,map00052",-,R01105,RC00452,"ko00000,ko00001,ko01000",-,-,-,Glyco_hydro_35
SUPERPANG_0_length=171158_47_1,316273.XCV3215,0,1506,"2C9CD@1|root,32HEW@2|Bacteria,1MZ09@1224|Proteobacteria",1224|Proteobacteria,NA,-,xopK,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_0_length=171158_49_1,316273.XCV3217,1.34E-66,202,"2BI4W@1|root,32CA3@2|Bacteria,1RHWB@1224|Proteobacteria,1SFDY@1236|Gammaproteobacteria,1XAK5@135614|Xanthomonadales",135614|Xanthomonadales,S,Killing trait,rebB,-,-,-,-,-,-,-,-,-,-,-,RebB
SUPERPANG_0_length=171158_50_1,316273.XCV3219,4.74E-288,785,"COG4409@1|root,COG4692@1|root,COG4409@2|Bacteria,COG4692@2|Bacteria,1Q1EG@1224|Proteobacteria,1S6SK@1236|Gammaproteobacteria,1XA53@135614|Xanthomonadales",135614|Xanthomonadales,G,BNR repeat-like domain,-,-,-,-,-,-,-,-,-,-,-,-,BNR_2
SUPERPANG_0_length=171158_51_1,316273.XCV3220,0,1139,"COG4886@1|root,COG4886@2|Bacteria",2|Bacteria,S,regulation of response to stimulus,xopL,-,-,-,-,-,-,-,-,-,-,-,"LRR_1,LRR_8"
SUPERPANG_0_length=171158_52_1,316273.XCV3221,1.96E-165,463,"COG3142@1|root,COG3142@2|Bacteria,1MV5W@1224|Proteobacteria,1RMC1@1236|Gammaproteobacteria,1X61D@135614|Xanthomonadales",135614|Xanthomonadales,P,Participates in the control of copper homeostasis,cutC,-,-,ko:K06201,-,-,-,-,ko00000,-,-,-,CutC
SUPERPANG_0_length=171158_53_1,316273.XCV3222,8.06E-257,704,"COG1446@1|root,COG1446@2|Bacteria,1MWFC@1224|Proteobacteria,1RNUR@1236|Gammaproteobacteria,1X33I@135614|Xanthomonadales",135614|Xanthomonadales,E,asparaginase,aga,-,3.5.1.26,ko:K01444,"ko00511,ko04142,map00511,map04142",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"Asparaginase_2,TAT_signal"
SUPERPANG_0_length=171158_54_1,316273.XCV3223,0,965,"COG2304@1|root,COG2304@2|Bacteria,1MUTS@1224|Proteobacteria,1RQPC@1236|Gammaproteobacteria,1X4JF@135614|Xanthomonadales",135614|Xanthomonadales,S,protein containing a von Willebrand factor type A (vWA) domain,-,-,-,ko:K07114,-,-,-,-,"ko00000,ko02000","1.A.13.2.2,1.A.13.2.3",-,-,"DUF3520,VWA,vWF_A"
SUPERPANG_0_length=171158_55_1,316273.XCV3224,6.66E-124,353,"COG1595@1|root,COG1595@2|Bacteria,1RBRK@1224|Proteobacteria,1SYEV@1236|Gammaproteobacteria,1XCS7@135614|Xanthomonadales",135614|Xanthomonadales,K,Belongs to the sigma-70 factor family. ECF subfamily,-,-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,"Sigma70_r2,Sigma70_r4"
SUPERPANG_0_length=171158_58_1,316273.XCV3226,2.08E-149,420,"COG1670@1|root,COG1670@2|Bacteria,1MVG4@1224|Proteobacteria,1SPGB@1236|Gammaproteobacteria,1X6E0@135614|Xanthomonadales",135614|Xanthomonadales,J,Acetyltransferase (GNAT) domain,rimJ,-,2.3.1.128,ko:K03790,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,Acetyltransf_3
SUPERPANG_0_length=171158_59_1,316273.XCV3227,3.54E-108,311,"COG0835@1|root,COG0835@2|Bacteria,1NA8G@1224|Proteobacteria,1SCB2@1236|Gammaproteobacteria,1X6S4@135614|Xanthomonadales",135614|Xanthomonadales,NT,chemotaxis signal transduction protein,-,-,-,ko:K06598,"ko02020,ko02025,map02020,map02025",-,-,-,"ko00000,ko00001,ko02035",-,-,-,CheW
SUPERPANG_0_length=171158_60_1,316273.XCV3228,5.45E-277,759,"COG2201@1|root,COG2201@2|Bacteria,1QSWM@1224|Proteobacteria,1RWHF@1236|Gammaproteobacteria,1X3VN@135614|Xanthomonadales",135614|Xanthomonadales,NT,protein-glutamate methylesterase,-,-,-,ko:K06597,"ko02020,map02020",M00507,-,-,"ko00000,ko00001,ko00002,ko02022,ko02035",-,-,-,CheB_methylest
SUPERPANG_0_length=171158_61_1,316273.XCV3229,0,4304,"COG0643@1|root,COG0784@1|root,COG2198@1|root,COG0643@2|Bacteria,COG0784@2|Bacteria,COG2198@2|Bacteria,1MUAG@1224|Proteobacteria,1RMS6@1236|Gammaproteobacteria,1X3AY@135614|Xanthomonadales",135614|Xanthomonadales,T,Chemotaxis protein histidine kinase and related kinases,pilL,-,-,"ko:K02487,ko:K06596","ko02020,ko02025,map02020,map02025",M00507,-,-,"ko00000,ko00001,ko00002,ko01001,ko02022,ko02035",-,-,-,"CheW,H-kinase_dim,HATPase_c,Hpt,Response_reg"
SUPERPANG_0_length=171158_62_1,316273.XCV3230,0,1168,"COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,1RMH0@1236|Gammaproteobacteria,1X5CR@135614|Xanthomonadales",135614|Xanthomonadales,NT,chemotaxis protein,pilJ,-,-,ko:K02660,"ko02020,ko02025,map02020,map02025",-,-,-,"ko00000,ko00001,ko02035,ko02044",-,-,-,"MCPsignal,PilJ"
